file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A3013.xlsx,0.05707070707070707,0.030912946774530874,0.03401929213447485,0.02657997539531553,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3014.xlsx,0.02001654259718775,0.023680654428681624,0.01828105827696903,0.030542060490786595,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3018.xlsx,0.06900452488687778,0.04378684558994884,0.042008628875965286,0.04106983835934236,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3019.xlsx,0.07350452120326602,0.04971000252952502,0.048091672039593115,0.048294995509326345,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3020.xlsx,0.0098327949838495,0.027608396744372196,0.01841618400665742,0.03405403925317126,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3022.xlsx,0.07333966905187836,0.06425199718591876,0.05305989990656898,0.06682952559922266,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3023.xlsx,0.057088258471237184,0.03510053464624457,0.03492011934943443,0.031493301812450754,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3024.xlsx,0.1070466354480723,0.07968938683212443,0.0772809149398335,0.07627558150380408,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3027.xlsx,0.0550880313811349,0.03336022737712227,0.03659527990563055,0.031064131146572607,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3031.xlsx,0.08018673056267034,0.05345807113056043,0.057324830833519594,0.047649007134720194,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3032.xlsx,0.048419168820839104,0.07124139845085578,0.06484067178896456,0.07822392559651169,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3036.xlsx,0.05263480392156863,0.02478832405413922,0.03287700827694459,0.02245655255798147,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3037.xlsx,0.021820794576821876,0.033902750866988456,0.03182259866618123,0.037724273584517624,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3039.xlsx,0.045281703159259314,0.03065672610867331,0.03658487843949657,0.02693736565552011,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3041.xlsx,0.07143837084673099,0.09719510921031822,0.08720448373720721,0.10347283367835687,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3043.xlsx,0.04694519317160822,0.07348029450772144,0.06444827694163512,0.0799576889500614,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3045.xlsx,0.06474280139754468,0.0729059678261341,0.06239079828527574,0.07845715744372882,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3049.xlsx,0.06568454423636305,0.04085473915176548,0.04570519061148871,0.03751088113565148,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
A3051.xlsx,0.08576321712006948,0.059337014968646205,0.05807519127803456,0.05576808845170753,Graded-test temporal holdout,vo2r,exclude each unit target maximum,
