file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID
,0.057908170012770335,0.042451182456764935,0.04576831512596778,0.040564275149244516,ACTES external validation,vo2r,continuous,9.0
,0.06989062127264802,0.04899385160931537,0.05477274726193443,0.04672277876499741,ACTES external validation,vo2r,continuous,10.0
,0.06412982909208438,0.05114024542023203,0.05900711262901936,0.050206293218567885,ACTES external validation,vo2r,continuous,11.0
,0.028758031773277026,0.03353355672773528,0.03435766252801085,0.03440938963366915,ACTES external validation,vo2r,continuous,12.0
,0.0383862423855998,0.053228423020903096,0.04371655145250773,0.05680151919452204,ACTES external validation,vo2r,continuous,13.0
,0.05976683488644937,0.06322824474126446,0.0614354784114337,0.06782592421610134,ACTES external validation,vo2r,continuous,14.0
,0.06505848656597872,0.04945440603055078,0.04932944233817726,0.04948455901112661,ACTES external validation,vo2r,continuous,15.0
,0.061994585215659655,0.04581822260706517,0.046704188417396715,0.04565043415567526,ACTES external validation,vo2r,continuous,16.0
,0.1472762993150933,0.11776343086869569,0.12275557708230418,0.11416491090458918,ACTES external validation,vo2r,continuous,17.0
,0.056665850969182564,0.03813185377132045,0.03976549046647467,0.03570858757499671,ACTES external validation,vo2r,continuous,18.0
,0.1405620492432552,0.11918256428474364,0.11886838767897923,0.1117872090691249,ACTES external validation,power_fraction,continuous,1.0
,0.1278690782806894,0.10778683224981082,0.10706310356673007,0.09712037421289087,ACTES external validation,power_fraction,continuous,2.0
,0.08127532327059499,0.0670621264932285,0.06480491998895961,0.06398222074627358,ACTES external validation,power_fraction,continuous,3.0
,0.06653777345511337,0.06718794005306847,0.06549288759734234,0.06892941241636379,ACTES external validation,power_fraction,continuous,4.0
,0.08307176227866835,0.06747362927126752,0.06467934566864983,0.06006340897913382,ACTES external validation,power_fraction,continuous,5.0
,0.08414093027247643,0.062028937489002116,0.05935513124090537,0.05592886879032972,ACTES external validation,power_fraction,continuous,6.0
,0.14425010036100333,0.11927943141335468,0.11843005445682103,0.11248457761009428,ACTES external validation,power_fraction,continuous,7.0
,0.09180535402741676,0.07224839958592659,0.07024863242231927,0.06340835840556182,ACTES external validation,power_fraction,continuous,8.0
