file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A239.xlsx,0.875,1.0,0.125,0.375,1.0,0.625,0.375,1.0,0.625,0.375,1.0,0.625,Graded-test temporal holdout,load_fraction,
A240.xlsx,0.875,1.0,0.125,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A241.xlsx,0.3333333333333333,1.0,0.6666666666666666,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,Graded-test temporal holdout,load_fraction,
A246.xlsx,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.5714285714285714,1.0,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,Graded-test temporal holdout,load_fraction,
A251.xlsx,0.14285714285714285,0.7142857142857143,1.1428571428571428,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,Graded-test temporal holdout,load_fraction,
A274.xlsx,0.375,1.0,0.625,0.125,1.0,0.875,0.125,1.0,0.875,0.125,1.0,0.875,Graded-test temporal holdout,load_fraction,
A275.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.2222222222222222,1.0,0.7777777777777778,Graded-test temporal holdout,load_fraction,
A294.xlsx,1.0,1.0,0.0,0.75,1.0,0.25,0.75,1.0,0.25,0.75,1.0,0.25,Graded-test temporal holdout,load_fraction,
A295.xlsx,0.14285714285714285,1.0,0.8571428571428571,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,load_fraction,
A3000.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,1.0,0.4444444444444444,0.4444444444444444,1.0,0.5555555555555556,Graded-test temporal holdout,load_fraction,
A3001.xlsx,0.6,0.8,0.6,0.4,0.8,0.8,0.4,0.8,0.8,0.3,0.8,0.9,Graded-test temporal holdout,load_fraction,
A3002.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,Graded-test temporal holdout,load_fraction,
A3003.xlsx,1.0,1.0,0.0,0.5714285714285714,1.0,0.42857142857142855,0.5714285714285714,1.0,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,load_fraction,
A3005.xlsx,0.6,1.0,0.4,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,Graded-test temporal holdout,load_fraction,
A3008.xlsx,0.75,1.0,0.25,0.5,1.0,0.5,0.375,1.0,0.625,0.375,1.0,0.625,Graded-test temporal holdout,load_fraction,
A3009.xlsx,0.9,1.0,0.1,0.9,1.0,0.1,0.8,1.0,0.2,0.8,1.0,0.2,Graded-test temporal holdout,load_fraction,
A3010.xlsx,0.8571428571428571,1.0,0.14285714285714285,0.5714285714285714,1.0,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,load_fraction,
A3011.xlsx,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,Graded-test temporal holdout,load_fraction,
