family,parameter,participants,median_participant_rho
power_hrr,8.5,9,0.6523752867525634
power_hrr,8.6,9,0.6523752867525634
power_hrr,8.7,9,0.6523752867525634
power_hrr,8.8,9,0.6523752867525634
power_hrr,8.9,9,0.6523752867525634
power_hrr,9.0,9,0.6523752867525634
power_hrr,9.1,9,0.6523752867525634
power_hrr,9.2,9,0.6523752867525634
power_hrr,9.3,9,0.6523752867525634
power_hrr,9.4,9,0.6523752867525634
power_hrr,9.5,9,0.6523752867525634
power_hrr,9.6,9,0.6523752867525634
power_hrr,9.7,9,0.6523752867525634
power_hrr,9.8,9,0.6523752867525634
power_hrr,9.9,9,0.6523752867525634
power_hrr,10.0,9,0.6523752867525634
power_hrr,10.1,9,0.6523752867525634
power_hrr,10.2,9,0.6523752867525634
power_hrr,10.3,9,0.6523752867525634
power_hrr,10.4,9,0.6523752867525634
power_hrr,10.5,9,0.6523752867525634
power_hrr,10.6,9,0.6523752867525634
power_hrr,10.7,9,0.6523752867525634
power_hrr,10.8,9,0.6523752867525634
power_hrr,10.9,9,0.6523752867525634
power_hrr,11.0,9,0.6523752867525634
power_hrr,11.1,9,0.6523752867525634
power_hrr,11.2,9,0.6523752867525634
power_hrr,11.3,9,0.6523752867525634
power_hrr,11.4,9,0.6523752867525634
power_hrr,11.5,9,0.6523752867525634
power_hrr,11.6,9,0.6523752867525634
power_hrr,11.7,9,0.6523752867525634
power_hrr,11.8,9,0.6523752867525634
power_hrr,11.9,9,0.6523752867525634
power_hrr,12.0,9,0.6523752867525634
